"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","brightness","correct_response","congruency","correct"
"1330","<p style='font-size:60pt; opacity:1; color:green;'>GREEN</p>","g","html-keyboard-response","92","256339","0.0-6.0-1.19","stroop","normal","g","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","93","257350","0.0-6.0-0.20","fixation","","","",""
"1554","<p style='font-size:60pt; opacity:1; color:red;'>RED</p>","r","html-keyboard-response","94","258905","0.0-6.0-1.20","stroop","normal","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","95","259913","0.0-6.0-0.21","fixation","","","",""
"1489","<p style='font-size:60pt; opacity:1; color:blue;'>BLUE</p>","b","html-keyboard-response","96","261403","0.0-6.0-1.21","stroop","normal","b","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","262417","0.0-6.0-0.22","fixation","","","",""
"1755","<p style='font-size:60pt; opacity:1; color:red;'>GREEN</p>","r","html-keyboard-response","98","264172","0.0-6.0-1.22","stroop","normal","r","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","99","265185","0.0-6.0-0.23","fixation","","","",""
"2366","<p style='font-size:60pt; opacity:1; color:green;'>YELLOW</p>","g","html-keyboard-response","100","267552","0.0-6.0-1.23","stroop","normal","g","Incongruent","true"
"2940","<p>You responded correctly on 100% of the trials.</p>
          <p>Your average response time was 2095ms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>","enter","html-keyboard-response","101","270499","0.0-7.0","","","","",""
